NUMBER,CATEGORY,TYPE,NAME,PICTURE,DESCRIPTION1,DESCRIPTION2,DESCRIPTION3
508,CHORD,PCM,E.Piano Hit     ,PCM,PCM,,
509,CHORD,PCM,E.Piano Maj 11th,PCM,PCM,,
510,CHORD,PCM,Strings Maj 11th,PCM,PCM,,
511,CHORD,PCM,Open Str        ,PCM,PCM,,
512,CHORD,PCM,Wah Mute        ,PCM,PCM,,
513,CHORD,PCM,Percussive Chord,PCM,PCM,,
514,CHORD,PCM,DA D50 Chord    ,PCM,PCM,,
515,CHORD,PCM,Atmosphere      ,PCM,PCM,,
516,CHORD,PCM,DA SH Chord     ,PCM,PCM,,
517,CHORD,PCM,SoftPad minor7th,PCM,PCM,,
518,CHORD,PCM,SoftPad major7th,PCM,PCM,,
519,CHORD,PCM,SoftPad 7th     ,PCM,PCM,,
520,CHORD,PCM,Syn.Str minor7th,PCM,PCM,,
521,CHORD,PCM,Syn.Str major7th,PCM,PCM,,
522,CHORD,PCM,Syn.Str 7th     ,PCM,PCM,,
153,BD,FM,FM Kick Model    ,FM,FMMOD,,
154,SD,FM,FM Snare Model   ,FM,FMMOD,,
155,TOM,FM,FM Tom Model    ,FM,FMMOD,,
156,HC,FM,FM Clap Model    ,FM,FMMOD,,
157,CC_RC,FM,FM Cymbal Model ,FM,FMMOD,,
158,PERC1,FM,FM Perc Model   ,FM,FMMOD,,
